channel_id,month,subscriber_count,monthly_views
CH007,2025-10-01,5617512,63836795
CH007,2025-11-01,5712422,52202355
CH007,2025-12-01,6064002,70165412
CH007,2026-01-01,5806293,69607154
CH007,2026-02-01,6136479,67029063
CH007,2026-03-01,6227058,59981540
CH007,2026-04-01,6357218,51926106
CH007,2026-05-01,6232203,55028671
CH008,2025-06-01,3469634,26511818
CH008,2025-07-01,3417029,36355389
CH008,2025-08-01,3426374,28760120
CH008,2025-09-01,3452392,35501992
CH008,2025-10-01,3496261,31071573
CH008,2025-11-01,3598307,38739164
CH008,2025-12-01,3699178,27973597
CH008,2026-01-01,3760955,37371269
CH008,2026-02-01,3765340,32699243
CH008,2026-03-01,3630293,35472283
CH008,2026-04-01,3784641,29747626
CH008,2026-05-01,3689377,28625781
CH009,2025-06-01,1889392,17365150
CH009,2025-07-01,1917368,23864070
CH009,2025-08-01,1894294,17086575
CH009,2025-09-01,1891467,19621621
CH009,2025-10-01,2003368,22160769
CH009,2025-11-01,2032588,25469632
CH009,2025-12-01,1962510,22717005
CH009,2026-01-01,2020249,20867163
CH009,2026-02-01,2021626,19480164
CH009,2026-03-01,2092691,22036960
CH009,2026-04-01,2062723,17422795
CH009,2026-05-01,2121571,23126537
CH010,2025-06-01,16591005,140287490
CH010,2025-07-01,16461082,201313122
CH010,2025-08-01,17182439,140819807
CH010,2025-09-01,17052520,174438806
CH010,2025-10-01,17456728,149842178
CH010,2025-11-01,17609301,214569794
CH010,2025-12-01,17494730,166566817
CH010,2026-01-01,17258283,144519860
CH010,2026-02-01,18562930,216820770
CH010,2026-03-01,17593186,210928525
CH010,2026-04-01,17988172,184206999
CH010,2026-05-01,18818110,168275873
CH011,2025-06-01,8323366,94709473
CH011,2025-07-01,8223818,109148854
CH011,2025-08-01,8322054,70407077
CH011,2025-09-01,8853143,86896903
CH011,2025-10-01,8623621,80854558
CH011,2025-11-01,8491659,80417372
CH011,2025-12-01,8807836,90487964
CH011,2026-01-01,8941330,104612050
CH011,2026-02-01,9318984,82487975
CH011,2026-03-01,9446509,104056783
CH011,2026-04-01,9523532,97811778
CH011,2026-05-01,9150644,77687094
CH012,2025-06-01,4224515,41983626
CH012,2025-07-01,4267310,45906733
CH012,2025-08-01,4118786,39736628
CH012,2025-09-01,4385872,33026499
CH012,2025-10-01,4359048,50651743
CH012,2025-11-01,4223627,37664535
CH012,2025-12-01,4403089,48170847
CH012,2026-01-01,4437541,33761744
CH012,2026-02-01,4366995,39574626
CH012,2026-03-01,4473502,36703261
CH012,2026-04-01,4682951,33160617
CH012,2026-05-01,4727298,49602539
CH013,2025-06-01,6488746,72093845
CH013,2025-07-01,6346683,70382865
CH013,2025-08-01,6520579,60204826
CH013,2025-09-01,6688498,53369047
CH013,2025-10-01,6619687,73014594
CH013,2025-11-01,6775366,57702549
CH013,2025-12-01,6633264,61446512
CH013,2026-01-01,6966089,69369700
CH013,2026-02-01,6837177,71744247
CH013,2026-03-01,7332674,70879340
CH013,2026-04-01,7175491,72012327
CH013,2026-05-01,7424360,81713313
CH014,2025-06-01,2940754,23793258
CH014,2025-07-01,2990001,30601578
CH014,2025-08-01,3008559,32164952
CH014,2025-09-01,3036571,28563895
CH014,2025-10-01,3125780,26980095
CH014,2025-11-01,3196567,30320052
CH014,2025-12-01,3243188,26387983
CH014,2026-01-01,3330515,32443016
CH014,2026-02-01,3380115,30173937
CH014,2026-03-01,3344635,32135922
CH014,2026-04-01,3378787,32496762
CH014,2026-05-01,3487864,23136456
CH015,2025-06-01,2509354,24084432
CH015,2025-07-01,2653290,22757474
CH015,2025-08-01,2736158,22215416
CH015,2025-09-01,2650487,22402485
CH015,2025-10-01,2619946,22539214
CH015,2025-11-01,2813429,17041406
CH015,2025-12-01,2832780,24668445
CH015,2026-01-01,2720361,25097816
CH015,2026-02-01,2877119,21695631
CH015,2026-03-01,2805025,19754960
CH015,2026-04-01,2906965,19355281
CH015,2026-05-01,2878966,25901142
CH016,2025-06-01,1360989,12726374
CH016,2025-07-01,1397632,9029332
CH016,2025-08-01,1346103,12330993
CH016,2025-09-01,1379576,9571075
CH016,2025-10-01,1427867,9238304
CH016,2025-11-01,1420207,11847475
CH016,2025-12-01,1444569,10597858
CH016,2026-01-01,1398854,13500477
CH016,2026-02-01,1504863,11440067
CH016,2026-03-01,1428002,11940660
CH016,2026-04-01,1473109,9923833
CH016,2026-05-01,1472862,9907480
CH017,2025-06-01,4502177,46313954
CH017,2025-07-01,4713977,51144580
CH017,2025-08-01,4635603,43281255
CH017,2025-09-01,4832730,41233499
CH017,2025-10-01,4676831,53983126
CH017,2025-11-01,4881314,58026022
CH017,2025-12-01,4835805,47801651
CH017,2026-01-01,4845962,52782130
CH017,2026-02-01,4917564,47382120
CH017,2026-03-01,4853909,61337109
CH017,2026-04-01,4919239,46094609
CH017,2026-05-01,5273677,56545334
CH018,2025-06-01,6106491,68585391
CH018,2025-07-01,5972078,72743206
CH018,2025-08-01,6104745,76893518
CH018,2025-09-01,6164462,67588374
CH018,2025-10-01,6369688,54024774
CH018,2025-11-01,6358180,71973858
CH018,2025-12-01,6359280,77080361
CH018,2026-01-01,6464417,67626546
CH018,2026-02-01,6680237,63240638
CH018,2026-03-01,6766673,70913101
CH018,2026-04-01,6819472,65749848
CH018,2026-05-01,6883227,61305010
CH019,2025-06-01,3553739,34148017
CH019,2025-07-01,3730990,47674773
CH019,2025-08-01,3622848,40921953
CH019,2025-09-01,3722210,41233999
CH019,2025-10-01,3894499,44295694
CH019,2025-11-01,3930219,45061859
CH019,2025-12-01,3796508,40314642
CH019,2026-01-01,3888473,47570726
CH019,2026-02-01,4072978,33228811
CH019,2026-03-01,3965177,39356590
CH019,2026-04-01,4208467,33266323
CH019,2026-05-01,4139197,37348525
CH020,2025-06-01,2526200,26842984
CH020,2025-07-01,2484128,28359683
CH020,2025-08-01,2485698,28717327
CH020,2025-09-01,2534846,26188887
CH020,2025-10-01,2587106,26412355
CH020,2025-11-01,2600664,25960827
CH020,2025-12-01,2580870,23809069
CH020,2026-01-01,2760673,24788677
CH020,2026-02-01,2728180,26542860
CH020,2026-03-01,2744231,29258702
CH020,2026-04-01,2766590,30093652
CH020,2026-05-01,2886721,24324950
